
loop:156, bump:15, step:173, totalValence:-225, surprise:0, bigValence:-1, compositeCount:346
loop:157, bump:15, step:174, totalValence:-228, surprise:0, bigValence:0, compositeCount:346
loop:157, bump:15, step:175, totalValence:-229, surprise:0, bigValence:0, compositeCount:346
loop:157, bump:15, step:176, totalValence:-224, surprise:0, bigValence:1, compositeCount:348
loop:158, bump:15, step:177, totalValence:-226, surprise:0, bigValence:-2, compositeCount:351
loop:159, bump:15, step:178, totalValence:-229, surprise:0, bigValence:-3, compositeCount:353
loop:160, bump:15, step:179, totalValence:-231, surprise:0, bigValence:-2, compositeCount:353
loop:161, bump:15, step:180, totalValence:-232, surprise:0, bigValence:-1, compositeCount:353
loop:162, bump:15, step:181, totalValence:-235, surprise:0, bigValence:0, compositeCount:353
loop:162, bump:15, step:182, totalValence:-236, surprise:0, bigValence:0, compositeCount:353
loop:162, bump:15, step:183, totalValence:-231, surprise:0, bigValence:1, compositeCount:353
loop:163, bump:15, step:184, totalValence:-233, surprise:0, bigValence:-2, compositeCount:353
loop:164, bump:15, step:185, totalValence:-234, surprise:0, bigValence:-1, compositeCount:356
loop:165, bump:15, step:186, totalValence:-235, surprise:0, bigValence:-1, compositeCount:359
loop:166, bump:15, step:187, totalValence:-236, surprise:0, bigValence:-1, compositeCount:361
loop:167, bump:15, step:188, totalValence:-238, surprise:0, bigValence:-2, compositeCount:363
loop:168, bump:15, step:189, totalValence:-240, surprise:0, bigValence:-2, compositeCount:365
loop:169, bump:15, step:190, totalValence:-243, surprise:0, bigValence:-3, compositeCount:368
loop:170, bump:15, step:191, totalValence:-246, surprise:0, bigValence:-3, compositeCount:370
loop:171, bump:15, step:192, totalValence:-249, surprise:0, bigValence:-3, compositeCount:372
loop:172, bump:15, step:193, totalValence:-251, surprise:0, bigValence:-2, compositeCount:374
loop:173, bump:15, step:194, totalValence:-253, surprise:0, bigValence:-2, compositeCount:376
loop:174, bump:15, step:195, totalValence:-255, surprise:0, bigValence:-2, compositeCount:376
loop:175, bump:15, step:196, totalValence:-257, surprise:0, bigValence:-2, compositeCount:378
loop:176, bump:15, step:197, totalValence:-260, surprise:0, bigValence:-3, compositeCount:380
loop:177, bump:15, step:198, totalValence:-261, surprise:0, bigValence:0, compositeCount:380
loop:177, bump:15, step:199, totalValence:-256, surprise:0, bigValence:4, compositeCount:380
