loop_number:371, bump_number:24, step_number:410, totalValence:-506
loop_number:372, bump_number:24, step_number:411, totalValence:-509
loop_number:373, bump_number:24, step_number:412, totalValence:-510
loop_number:374, bump_number:24, step_number:413, totalValence:-513
loop_number:375, bump_number:24, step_number:414, totalValence:-516
loop_number:376, bump_number:24, step_number:415, totalValence:-518
loop_number:377, bump_number:24, step_number:416, totalValence:-520
loop_number:378, bump_number:24, step_number:417, totalValence:-522
loop_number:379, bump_number:24, step_number:418, totalValence:-523
loop_number:380, bump_number:24, step_number:419, totalValence:-525
loop_number:381, bump_number:24, step_number:420, totalValence:-527
loop_number:382, bump_number:24, step_number:421, totalValence:-529
loop_number:383, bump_number:24, step_number:422, totalValence:-530
loop_number:384, bump_number:24, step_number:423, totalValence:-531
loop_number:385, bump_number:25, step_number:424, totalValence:-541
loop_number:386, bump_number:25, step_number:425, totalValence:-543
loop_number:387, bump_number:25, step_number:426, totalValence:-545
loop_number:388, bump_number:25, step_number:427, totalValence:-547
loop_number:389, bump_number:25, step_number:428, totalValence:-550
loop_number:390, bump_number:25, step_number:429, totalValence:-552
loop_number:391, bump_number:25, step_number:430, totalValence:-554
loop_number:392, bump_number:25, step_number:431, totalValence:-557
loop_number:393, bump_number:25, step_number:432, totalValence:-559
loop_number:394, bump_number:25, step_number:433, totalValence:-560
loop_number:395, bump_number:25, step_number:434, totalValence:-562
loop_number:396, bump_number:25, step_number:435, totalValence:-565
loop_number:397, bump_number:25, step_number:436, totalValence:-566
loop_number:398, bump_number:25, step_number:437, totalValence:-561
loop_number:399, bump_number:25, step_number:438, totalValence:-562
loop_number:399, bump_number:25, step_number:439, totalValence:-557
loop_number:400, bump_number:25, step_number:440, totalValence:-559
loop_number:401, bump_number:25, step_number:441, totalValence:-562
loop_number:402, bump_number:25, step_number:442, totalValence:-563
loop_number:402, bump_number:25, step_number:443, totalValence:-558
loop_number:403, bump_number:25, step_number:444, totalValence:-559
loop_number:403, bump_number:25, step_number:445, totalValence:-554
loop_number:404, bump_number:25, step_number:446, totalValence:-555
loop_number:404, bump_number:25, step_number:447, totalValence:-550
loop_number:405, bump_number:25, step_number:448, totalValence:-552
loop_number:406, bump_number:25, step_number:449, totalValence:-554
loop_number:407, bump_number:25, step_number:450, totalValence:-556
loop_number:408, bump_number:25, step_number:451, totalValence:-559
loop_number:409, bump_number:25, step_number:452, totalValence:-560
loop_number:409, bump_number:25, step_number:453, totalValence:-555
loop_number:410, bump_number:25, step_number:454, totalValence:-556
loop_number:410, bump_number:25, step_number:455, totalValence:-551
loop_number:411, bump_number:25, step_number:456, totalValence:-552
loop_number:411, bump_number:25, step_number:457, totalValence:-547
loop_number:412, bump_number:25, step_number:458, totalValence:-549
loop_number:413, bump_number:25, step_number:459, totalValence:-550
loop_number:414, bump_number:25, step_number:460, totalValence:-553
loop_number:415, bump_number:25, step_number:461, totalValence:-555
loop_number:416, bump_number:25, step_number:462, totalValence:-556
loop_number:417, bump_number:25, step_number:463, totalValence:-559
loop_number:417, bump_number:25, step_number:464, totalValence:-560
loop_number:417, bump_number:25, step_number:465, totalValence:-555
loop_number:418, bump_number:25, step_number:466, totalValence:-556
loop_number:418, bump_number:25, step_number:467, totalValence:-551
loop_number:419, bump_number:25, step_number:468, totalValence:-552
loop_number:419, bump_number:25, step_number:469, totalValence:-547
loop_number:420, bump_number:25, step_number:470, totalValence:-549
loop_number:421, bump_number:25, step_number:471, totalValence:-552
loop_number:422, bump_number:25, step_number:472, totalValence:-553
loop_number:422, bump_number:25, step_number:473, totalValence:-548
loop_number:423, bump_number:25, step_number:474, totalValence:-549
loop_number:423, bump_number:25, step_number:475, totalValence:-544
loop_number:424, bump_number:25, step_number:476, totalValence:-545
loop_number:424, bump_number:25, step_number:477, totalValence:-540
loop_number:425, bump_number:25, step_number:478, totalValence:-542
loop_number:426, bump_number:25, step_number:479, totalValence:-543
loop_number:427, bump_number:25, step_number:480, totalValence:-546
loop_number:427, bump_number:25, step_number:481, totalValence:-547
loop_number:427, bump_number:25, step_number:482, totalValence:-542
loop_number:428, bump_number:25, step_number:483, totalValence:-543
loop_number:428, bump_number:25, step_number:484, totalValence:-538
loop_number:429, bump_number:25, step_number:485, totalValence:-540
loop_number:430, bump_number:25, step_number:486, totalValence:-541
loop_number:431, bump_number:25, step_number:487, totalValence:-544
loop_number:431, bump_number:25, step_number:488, totalValence:-545
loop_number:431, bump_number:25, step_number:489, totalValence:-540
loop_number:431, bump_number:25, step_number:490, totalValence:-542
loop_number:432, bump_number:25, step_number:491, totalValence:-545
loop_number:433, bump_number:25, step_number:492, totalValence:-546
loop_number:433, bump_number:25, step_number:493, totalValence:-541
loop_number:434, bump_number:25, step_number:494, totalValence:-543
loop_number:435, bump_number:25, step_number:495, totalValence:-546
loop_number:436, bump_number:25, step_number:496, totalValence:-548
loop_number:437, bump_number:25, step_number:497, totalValence:-551
loop_number:437, bump_number:25, step_number:498, totalValence:-553
loop_number:438, bump_number:25, step_number:499, totalValence:-554
